name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type)
Soms Kitchen & Bakes,No,No,2.9/5,0.00,400.00,Dining
Banashankari Nati Style,No,No,2.9/5,0.00,350.00,Dining
Ruchi Maayaka,No,No,3.3/5,8.00,100.00,Dining
Mohitesh Hut Roll,No,No,3.3/5,0.00,150.00,Dining
Sri Basaveshwar Jolada Rotti Oota,No,No,3.4/5,0.00,150.00,Dining
Roll Magic Fast Food,No,No,3.4/5,0.00,200.00,Dining
Foodlieious Multi Cuisine,No,No,3.4/5,0.00,100.00,Dining
Thanishka Nati And Karavali Style,No,No,3.1/5,0.00,400.00,Dining
Swathi Cool Point,No,No,4.1/5,0.00,200.00,Dining
Kaumudis Juoice,No,No,3.3/5,0.00,150.00,Dining
Amma - Manae,No,No,3.1/5,0.00,400.00,Dining
Sri Sai Tiffannies,No,No,3.3/5,0.00,150.00,Dining
Hotel Andhra Speices,No,No,2.9/5,0.00,250.00,Dining
Sri Murari Family Restaurant,No,No,2.9/5,0.00,250.00,Dining
Aramane Donne Biriyani,No,No,2.9/5,0.00,150.00,Dining
Darkolates,No,No,3.3/5,0.00,200.00,Dining
Swaada Healthy Kitchen,No,No,3.3/5,0.00,350.00,Dining
Gawdaru Mane Beriyani,No,No,3.3/5,0.00,300.00,Dining
Melting Melodies,No,No,3.3/5,0.00,100.00,Dining
New Indraprasta,No,No,3.3/5,0.00,150.00,Dining
Anna Kuteera,Yes,No,4.0/5,771.00,450.00,Dining
Darbar,No,No,3.0/5,98.00,800.00,Dining
Vijayalakshmi,Yes,No,3.9/5,47.00,200.00,Dining
